Tanggal,Aceh,Bali,Bangka Belitung…,Banten,Bengkulu,Central Java,Central Kalimantan,Central Sulawesi,East Java,East Kalimantan,East Nusa Tenggara,Gorontalo,Jakarta,Jambi,Lampung,Maluku,North Kalimantan,North Maluku,North Sulawesi,North Sumatra,Papua,Riau,Riau Islands,South Kalimantan,South Sulawesi,South Sumatra,Southeast Sulawesi,Yogyakarta,West Java,West Kalimantan,West Nusa Tengg…,West Papua,West Sulawesi,West Sumatra
08-Apr-2020,26.6124881184676,7.21014950987152,Inf,14.583547798999,7.00000000000001,16.3229786253495,6.07637257211401,5.29529558156221,7.65638053911233,11.5191717886812,NaN,NaN,8.10758574507406,Inf,7.71868187176761,4.4165082750002,2.33333333333333,7.00000000000001,4.94686536827997,4.9184540321155,3.63447669431145,3.5,19.3066124261527,4.79638779276007,7.4129724912662,4.17145414250299,3.73439067792269,12.7227137727153,9.58388233828464,Inf,9.49840814199706,Inf,7.00000000000001,5.98328951973009
09-Apr-2020,26.6124881184676,5.24964407258904,11.9665790394602,17.0468802779387,7.00000000000001,14.9099455275339,6.07637257211401,5.29529558156221,6.36097526825775,11.5191717886812,0,NaN,7.54767632835973,Inf,7.71868187176761,4.4165082750002,2.33333333333333,7.00000000000001,4.94686536827997,4.9184540321155,3.63447669431145,9.00196987795651,4.23709142226396,4.79638779276007,6.57814156203222,11.1459426664731,3.01473590651375,11.6150859582561,9.28765107101344,Inf,4.94686536827997,Inf,7.00000000000001,5.98328951973009
10-Apr-2020,Inf,4.74920407099853,11.9665790394602,13.5811158124141,7.00000000000001,20.769357082311,7.00000000000001,3.87306328965578,9.67016991732111,10.4500789543546,0,0,8.2132363087356,Inf,9.49840814199706,4.4165082750002,7.00000000000001,7.00000000000001,3.30894605829757,4.9184540321155,5.6093001593369,18.493487570678,5.02758917289819,3.76753046363607,6.82159956454975,8.67028838092666,5.29529558156221,11.6150859582561,8.90436098249188,Inf,3.81159551754702,Inf,4.4165082750002,3.58203521457586
11-Apr-2020,Inf,5.36900089204963,7.00000000000001,10.1523860941962,7.00000000000001,26.6124881184676,6.21928737045392,3.1139794135429,8.61253936899257,12.8600701082554,0,0,7.59092782411754,7.00000000000001,8.11597518686034,4.4165082750002,7.00000000000001,7.00000000000001,3.30894605829757,5.65068958055713,3.9231701843262,10.3233889314986,5.02758917289819,3.76753046363607,6.26016479531426,8.67028838092666,4.17145414250299,22.3529418529458,9.09907235934324,Inf,3.59429160338847,Inf,3.01473590651375,3.58203521457586
12-Apr-2020,Inf,5.7824144234088,7.00000000000001,10.4975734312416,7.00000000000001,9.49840814199706,6.21928737045392,3.1139794135429,6.74459444579439,31.4758927392134,0,0,8.11356053936104,7.00000000000001,8.11597518686034,2.02345378422521,7.00000000000001,7.00000000000001,2.79720241657181,5.07794049895477,5.48228350785118,12.9493330378553,5.72647529370876,6.43700155487756,4.93174314253309,17.8426946996629,4.94686536827997,25.9173671120935,8.36818815481723,18.493487570678,2.91411870264262,11.9665790394602,5.29529558156221,2.84618606468047
13-Apr-2020,Inf,7.00000000000001,7.00000000000001,11.5146038645163,7.00000000000001,11.2731982683398,21.7439860365377,3.1139794135429,5.74185934480407,39.9801911727519,0,0,8.46135008515604,7.00000000000001,8.67028838092666,2.02345378422521,75.1803756639684,7.00000000000001,3.96480443923298,5.12576626864963,5.04677959824369,9.49840814199706,5.72647529370876,7.62911315076072,7.1376063590602,41.1946443465318,5.86930691239401,13.6996510618632,6.7444097491728,60.6180176176601,3.7085596195752,Inf,5.29529558156221,5.29529558156221
14-Apr-2020,Inf,6.37931090260376,7.00000000000001,13.2232610256181,7.00000000000001,6.58105876738809,21.7439860365377,3.63447669431145,5.41849825021407,39.9801911727519,0,0,9.08736733859459,5.29529558156221,8.67028838092666,2.02345378422521,75.1803756639684,7.00000000000001,6.43700155487756,4.76357271457282,5.04677959824369,9.49840814199706,4.5736247574924,6.73382299238851,8.11063504399768,28.2340588294279,5.86930691239401,11.7322832587505,11.1503358106066,18.493487570678,3.7085596195752,Inf,5.29529558156221,4.94686536827997
15-Apr-2020,-26.6124881184675,7.00000000000001,5.29529558156221,17.2199237240377,7.00000000000001,6.60040151489765,9.68903694139058,3.27484840245762,5.19216129147543,54.1447760534536,0,0,9.32054126013576,4.4165082750002,16.8659458775725,3.14975876123197,21.7439860365377,7.00000000000001,5.98328951973009,17.3801133036474,7.1363675846651,9.49840814199706,3.8249798535671,6.05914648577772,7.52543691339583,15.2362173521327,6.21928737045392,11.7322832587505,11.3830055995607,18.493487570678,3.7085596195752,Inf,3.87306328965578,4.3439550777421
16-Apr-2020,-26.6124881184675,8.30467194387636,7.00000000000001,15.6903251268165,7.00000000000001,6.61067307545912,9.14393505096496,3.27484840245762,5.81045635965104,15.2362173521327,Inf,0,10.8321891983903,3.87306328965578,9.49840814199706,3.14975876123197,8.67028838092666,7.00000000000001,5.98328951973009,16.6216418518036,6.51768734667714,7.00000000000001,8.87766194612808,4.9184540321155,7.18962946385597,6.23891186948909,8.82113003623498,11.7322832587505,11.6622105870339,6.53967656216227,4.6921510014771,5.29529558156221,3.87306328965578,4.3439550777421
17-Apr-2020,Inf,9.65014608674019,7.00000000000001,19.6652266804763,Inf,6.4934913620978,12.8600701082554,9.00196987795651,6.80996124485989,21.2025735202822,Inf,3.5,10.2442683411817,3.5,18.493487570678,3.14975876123197,4.50279827521337,7.00000000000001,14.9099455275339,16.6216418518036,5.70122679822476,7.00000000000001,4.7759937082847,5.17953615093374,7.0611841803155,5.13735044230604,8.25474709387562,10.8958235535294,9.94504784268384,6.53967656216227,6.80557061724992,5.29529558156221,5.72647529370876,7.00000000000001
18-Apr-2020,26.6124881184676,9.59374264272894,11.9665790394602,34.6006778512929,Inf,5.87239073973225,9.0604389066796,20.769357082311,6.6309980259088,11.1891780915783,Inf,3.5,11.9464192745821,7.00000000000001,18.493487570678,2.79720241657181,4.25828003905822,7.00000000000001,11.2632838551988,16.6216418518036,11.3699249298691,7.71868187176761,3.66211577642549,4.20273776190009,7.39698638265334,3.5,8.67028838092666,9.87950969955698,11.541553846329,6.53967656216227,6.81947345726718,5.29529558156221,14.420299019743,5.85504183227919
19-Apr-2020,14.420299019743,9.49840814199706,8.67028838092666,34.0759152461489,Inf,8.71484609266772,7.45792037296166,13.8077957940539,11.4357763040672,9.29170608844633,Inf,3.5,12.304997491964,7.00000000000001,18.493487570678,11.1459426664731,3.31985715294762,7.00000000000001,29.8551699725911,22.0484809027279,9.16006085398064,7.71868187176761,3.66211577642549,4.67445849201304,9.49840814199706,3.35986666728615,5.7877386585797,9.87950969955698,11.125904950866,10.1173949573442,9.70491550121558,5.72647529370876,14.420299019743,9.85230850759527
20-Apr-2020,14.420299019743,9.95706708623415,8.67028838092666,27.0468871728107,Inf,8.8608570402732,5.5422084843199,13.8077957940539,16.5401959678071,9.29170608844633,Inf,3.5,13.9281867703499,7.00000000000001,22.7182521529916,11.1459426664731,3.16820445676497,7.00000000000001,29.8551699725911,22.6573702608361,10.7032960752655,9.14393505096496,3.66211577642549,4.67445849201304,9.58271964358502,3.03581160965952,5.7877386585797,25.3959553589513,14.9525096841456,10.1173949573442,7.28808612247268,3.87306328965578,14.420299019743,9.75473435487333
21-Apr-2020,14.420299019743,9.92546353431067,7.00000000000001,24.6179892891845,7.00000000000001,10.1210102393096,4.92183769933488,13.8077957940539,20.3352121039784,7.30551804832105,Inf,2.49345030975616,14.5394298733509,5.07794049895477,19.3066124261527,11.1459426664731,3.08807197957603,7.00000000000001,29.8551699725911,31.4758927392134,8.80303600189511,8.67028838092666,4.26982803825406,4.98129708502778,10.0698354818923,3.14210494951175,5.7877386585797,32.4481642462716,13.6613654937525,6.63854588730536,5.26432378223281,3.87306328965578,14.420299019743,10.558626572547
22-Apr-2020,14.420299019743,11.0546504607563,10.3233889314986,26.6993710098981,7.00000000000001,9.80313502691005,5.33066136111729,17.5636957750222,19.7451962294437,7.14839028992925,Inf,2.49345030975616,15.5053294238873,6.27534107437065,16.1677974478932,24.9903680701846,3.59923366921107,4.4165082750002,46.051694352724,27.5854902449981,9.80810010989956,8.67028838092666,5.22446541398617,6.21251886258166,10.334749644352,3.47170247886355,11.2091311392258,25.4895467631645,15.6619624183372,5.58322089255084,4.52947157987386,3.5,36.3362514877909,12.533789993058
23-Apr-2020,14.420299019743,12.4218018722757,16.8659458775725,38.4012652743259,7.00000000000001,8.30718871107287,5.43656979618968,17.5636957750222,18.9488846773096,9.3330627119508,Inf,8.67028838092666,17.609815112998,7.00000000000001,11.5880355940175,24.9903680701846,4.79638779276007,3.87306328965578,8.92548269988389,26.3083855271128,9.99372225575303,11.9665790394602,6.210563377789,7.36650603398869,12.7077223403194,5.26432378223281,13.7520870698599,23.8313121900383,15.2209736907742,5.59311479963335,5.17125361873153,5.07794049895477,36.3362514877909,10.8543111823405
24-Apr-2020,10.3233889314986,13.6343475316946,11.9665790394602,33.8051136860023,7.00000000000001,7.61291061967561,4.91122665004238,16.8659458775725,17.3892930181374,7.36873660907803,Inf,4.4165082750002,19.7482838624148,5.98328951973009,12.7856731420514,24.9903680701846,9.82873169619385,3.87306328965578,7.00000000000001,24.8949298333408,11.4429678912297,14.9099455275339,13.5381216312471,8.38382839588615,20.6364221702464,7.19400096649999,11.6150859582561,26.2382052024328,15.6332594239187,5.59311479963335,4.4165082750002,4.4165082750002,3.12913605110094,11.0976144683504
25-Apr-2020,11.9665790394602,14.5144851807969,11.9665790394602,34.1543430106079,7.00000000000001,7.63770494662189,5.44194762077025,11.9665790394602,14.8188708151906,8.28377525318236,Inf,3.87306328965578,21.0002257436761,5.02758917289819,12.7856731420514,18.8187837946354,9.57352357385613,3.87306328965578,8.25474709387562,17.0538387708991,13.5237677428092,20.5256370613382,98.2336423943984,10.5063678650737,21.0322169823053,13.9303388185335,12.7227137727153,29.449931108894,13.9782444306293,5.46828895833591,4.09238648355412,4.17145414250299,3.01473590651375,15.5498289791778
26-Apr-2020,19.3066124261527,15.1402676348873,13.6035074691231,36.5475211568686,7.00000000000001,7.82130383951369,5.94794143072601,16.8659458775725,16.9912109514411,8.41748343324868,Inf,3.670897541852,21.5404398138853,3.5,10.1173949573442,18.8187837946354,19.0627149444661,2.59217043542028,7.00000000000001,15.3993085768341,17.5842122874059,18.493487570678,66.2814841557864,11.5728865872449,28.0024358749568,13.0720461755091,24.7875590484124,24.0167858811308,17.9511796392735,5.46828895833591,4.17513379778134,5.86930691239401,3.01473590651375,13.9303388185335
27-Apr-2020,19.3066124261527,14.8736854839112,13.6035074691231,42.7348081862802,7.00000000000001,7.57533825318364,7.7737671492262,16.8659458775725,16.2016981324541,8.15068106290991,Inf,3.87306328965578,21.8007856450202,3.5,10.1173949573442,18.8187837946354,24.7875590484124,2.59217043542028,7.00000000000001,16.6914481018632,14.0862712861172,35.3643629905951,57.1503186301436,10.8719930182689,28.0024358749568,13.0720461755091,24.7875590484124,26.2649406898303,20.0954765908013,5.46828895833591,4.61566198398212,5.86930691239401,3.01473590651375,9.86735634755384
28-Apr-2020,19.3066124261527,13.4777594869497,21.7439860365377,37.5768487160133,Inf,11.6075399035878,8.20850496814382,10.9815993470202,13.8029708123603,9.23449700812906,Inf,6.36632368406359,23.6607025946005,5.38643731861912,9.93550274045901,18.8187837946354,27.2611768152664,2.59217043542028,6.33864676843593,17.4086722092918,11.9665790394602,36.3362514877909,51.5147439155531,11.398630782239,25.3189482016438,10.2318552159331,24.7875590484124,18.9581772220083,19.5470430075456,7.62911315076072,5.60563366953599,2.91411870264262,2.91411870264262,7.59221157445242
29-Apr-2020,19.3066124261527,13.9925745284075,21.7439860365377,34.4305088808977,11.9665790394602,12.2844969336955,11.0911702054609,10.0486951649775,15.5289247949563,8.90253031771793,Inf,6.36632368406359,25.5006350286197,5.38643731861912,9.10658597348085,16.0513969470064,27.2611768152664,6.27534107437065,6.15382709050742,23.8313121900383,11.2952794068565,30.6655760441014,51.5147439155531,12.6547091869785,26.4253503819796,10.0836718532912,13.5013391387852,21.4875419363362,17.2812508330482,7.74520759002279,6.41847023723236,3.16820445676497,3.1139794135429,8.33274719271523
30-Apr-2020,13.6035074691231,17.0435907952097,21.7439860365377,26.7577243166634,11.9665790394602,16.3404977064323,8.69706035581512,10.0486951649775,13.2364572309959,8.17150041722663,4.4165082750002,6.36632368406359,28.2907310987002,5.86930691239401,25.3959553589513,16.0513969470064,18.5642096018133,4.62176415479585,13.0194581060207,23.2938028761442,10.6526694813902,37.3080627069566,69.5175484780956,12.1422182223818,22.8322404558973,10.1499307255821,9.39921626552005,21.7439860365377,19.0070845350485,32.6912147729218,7.00000000000001,4.63879171116398,2.9260331147316,8.93782149323644
01-May-2020,15.2362173521327,17.1186229100565,6.4934913620978,31.8878860907959,11.9665790394602,18.6361692255846,9.5783688617613,11.9665790394602,11.9951761848058,10.3233889314986,4.4165082750002,21.7439860365377,26.6734757153955,8.43297293878624,17.6799520177859,16.0513969470064,12.09600404356,4.51555487927897,21.7439860365377,24.5267889924101,11.1681452972329,31.4758927392134,69.5175484780956,15.9300295605834,18.3654003876438,12.55646453082,11.7322832587505,16.1419317649727,30.2441764965282,24.4003485553848,11.5359584517141,4.71245023447913,18.3308150774691,8.32043414465709
